,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url
178,2022:1535,35,6,ökad,,,strafföreläggande,2023-01-01,"Prop. 2021/22:279, bet. 2022/23:JuU2, rskr. 2022/23:16",['2021/22:279'],False,['http://data.riksdagen.se/fil/2F807CC7-1FA7-49EC-AB79-1B853024FE86'],1256,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1535.pdf
179,2022:1538,10,5c,,,,sekretessbrytande mellan myndigheter,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
180,2022:1538,15,1a,,,,sekretessbrytande ej tillåtet i strid med internationalla avtal,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
181,2022:1538,30,7,,,20,sekretessbrytande ej tillåtet i strid med internationalla avtal,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
182,2022:1538,30,17,,EU,,sekretessbrytande ej tillåtet i strid med internationalla avtal,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
183,2022:1538,30,24,,EU,,sekretessbrytande ej tillåtet i strid med internationalla avtal,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
184,2022:1538,37,2,,EU,,sekretessbrytande ej tillåtet i strid med internationalla avtal,2023-01-01,"Prop. 2021/22:251, bet. 2022/23:FiU15, rskr. 2022/23:33",['2021/22:251'],False,['http://data.riksdagen.se/fil/66000A8A-E309-423A-8BCE-CDF0BE4B29C0'],5679,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1538.pdf
185,2022:1579,30,8a,,EU,50,sekretessbrytande mellan myndigheter,2023-01-01 överg.best.,"Prop. 2021/22:41, bet. 2022/23:KU8, rskr. 2022/23:23",['2021/22:41'],False,['http://data.riksdagen.se/fil/30997F90-8CC1-4661-9C67-89ACEFD77E68'],2455,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1579.pdf
186,2022:1579,32,6,,,,ny riksbankslag,2023-01-01 överg.best.,"Prop. 2021/22:41, bet. 2022/23:KU8, rskr. 2022/23:23",['2021/22:41'],False,['http://data.riksdagen.se/fil/30997F90-8CC1-4661-9C67-89ACEFD77E68'],2455,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1579.pdf
187,2022:1579,39,5b,ökad,,,tillsättande av chefer inom riksbanken,2023-01-01 överg.best.,"Prop. 2021/22:41, bet. 2022/23:KU8, rskr. 2022/23:23",['2021/22:41'],False,['http://data.riksdagen.se/fil/30997F90-8CC1-4661-9C67-89ACEFD77E68'],2455,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1579.pdf
188,2022:1655,31,25a,ökad,,,revisors uttalande gränsöverskridande förfarande,2023-01-31,"Prop. 2021/22:286, bet. 2022/23:CU3, rskr. 2022/23:37.",['2021/22:286'],False,['http://data.riksdagen.se/fil/5E89FB72-D202-47DC-9AA1-D32950450DC1'],1228,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-12/SFS2022-1655.pdf
189,2022:1685,9,2,ökad,,,användarbegränsningar i LAUP,2023-01-01,"Prop. 2022/23:6, bet. 2022/23:SkU3, rskr. 2022/23:39, direktiv 2011/16/EU",['2022/23:6'],True,['http://data.riksdagen.se/fil/93DC004F-862E-44A8-9307-E0A25912E8B6'],5270,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-12/SFS2022-1685.pdf
190,2022:1685,27,1,ökad,,,utökat skattebegrepp,2023-01-01,"Prop. 2022/23:6, bet. 2022/23:SkU3, rskr. 2022/23:39, direktiv 2011/16/EU",['2022/23:6'],True,['http://data.riksdagen.se/fil/93DC004F-862E-44A8-9307-E0A25912E8B6'],5270,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-12/SFS2022-1685.pdf
191,2022:1685,27,2,ökad,,,plattformsaktörer emigt LAUP och POL,2023-01-01,"Prop. 2022/23:6, bet. 2022/23:SkU3, rskr. 2022/23:39, direktiv 2011/16/EU",['2022/23:6'],True,['http://data.riksdagen.se/fil/93DC004F-862E-44A8-9307-E0A25912E8B6'],5270,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-12/SFS2022-1685.pdf
192,2022:1758,30,4b,ökad,,,skydd för anmälares identet ang värdepapper,2023-01-01,"Prop. 2022/23:7, bet. 2022/23:FiU14, rskr. 2022/23:45",['2022/23:7'],False,['http://data.riksdagen.se/fil/CED0C354-8402-49D7-B163-5872C2E9110F'],2767,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-12/SFS2022-1758.pdf
193,2023:20,28,4a,ökad,,20,Elstöd,2023-02-01,"Prop. 2022/23:48, bet. 2022/23:KU16, rskr. 2022/23:110",['2022/23:48'],False,['http://data.riksdagen.se/fil/5D0095DA-8F4F-42AA-82A0-F97298C409B0'],1331,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-01/SFS2023-20.pdf
194,2023:20,28,4b,ökad,,20,Elektriska anläggningar,2023-02-01,"Prop. 2022/23:48, bet. 2022/23:KU16, rskr. 2022/23:110",['2022/23:48'],False,['http://data.riksdagen.se/fil/5D0095DA-8F4F-42AA-82A0-F97298C409B0'],1331,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-01/SFS2023-20.pdf
195,2023:41,25,15,ökad,,70,Uppgifter i biobank.Ingen ändring i sak,2023-07-01 överg.best.,"Prop. 2021/22:257, bet. 2022/23:SoU4, rskr. 2022/23:115",['2021/22:257'],False,['http://data.riksdagen.se/fil/780C520D-1C20-42D3-8A25-7EEEB99C2F53'],1163,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-02/SFS2023-41.pdf
196,2023:54,,,,,,Ikraftträdande av SFS 2021:1190 ovan,9,,[],False,[],506,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-02/SFS2023-54.pdf
197,2023:88,36,5b,ökad,,20,Absolut sekretess i domstol om mål ang konkurrenslagen,2023-05-01,"Prop. 2022/23:40, bet. 2022/23:KU15, rskr. 2022/23:129, direktiv (EU) 2019/1",['2022/23:40'],True,['http://data.riksdagen.se/fil/AF457184-0C73-4698-A260-2F78310E2A72'],1164,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-03/SFS2023-88.pdf
198,2023:106,,,,,,Ikraftträdande av 2022:1314 ovan,9,"Bet. 2022/23:JuU7, rskr. 2022/23:133",[],False,[],594,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-03/SFS2023-106.pdf
